Distance_to_Outlet_m,Channel_Width
10469.47,1.9773783782088e-05
10529.47,1.79761670746254e-05
10589.47,1.9773783782088e-05
10649.47,1.9773783782088e-05
10709.46,1.61785503671629e-05
10769.46,1.9773783782088e-05
10829.46,2.15714004895505e-05
10889.46,1.61785503671629e-05
10949.45,1.9773783782088e-05
11009.45,1.79761670746254e-05
11069.45,1.79761670746254e-05
11129.44,1.79761670746254e-05
11189.44,2.87618673194007e-05
11249.44,2.51666339044756e-05
11309.43,2.69642506119381e-05
11369.43,2.87618673194007e-05
11429.43,2.87618673194007e-05
11489.42,2.69642506119381e-05
11549.42,2.69642506119381e-05
11609.42,2.87618673194007e-05
11669.42,2.69642506119381e-05
11729.41,2.87618673194007e-05
11789.41,2.87618673194007e-05
11849.41,2.87618673194007e-05
11909.4,2.87618673194007e-05
11969.4,2.51666339044756e-05
12029.4,2.87618673194007e-05
12089.39,2.3369017197013e-05
12149.39,3.05594840268632e-05
12209.39,3.77499508567134e-05
12269.38,3.77499508567134e-05
12329.38,3.59523341492508e-05
12389.38,3.41547174417883e-05
12449.38,3.77499508567134e-05
12509.37,3.41547174417883e-05
12569.37,3.59523341492508e-05
12629.37,3.59523341492508e-05
12689.36,3.77499508567134e-05
12749.36,3.59523341492508e-05
12809.36,3.41547174417883e-05
12869.36,3.59523341492508e-05
12929.35,3.59523341492508e-05
12989.35,3.59523341492508e-05
13049.35,3.77499508567134e-05
13109.34,2.87618673194007e-05
13169.34,2.69642506119381e-05
13229.34,2.87618673194007e-05
13289.33,2.3369017197013e-05
13349.33,1.61785503671629e-05
13409.33,1.9773783782088e-05
13469.32,2.87618673194007e-05
13529.32,2.69642506119381e-05
13589.32,3.05594840268632e-05
13649.32,2.69642506119381e-05
13709.31,2.87618673194007e-05
13769.31,2.51666339044756e-05
13829.31,2.69642506119381e-05
13889.3,2.87618673194007e-05
13949.3,2.51666339044756e-05
14009.3,2.87618673194007e-05
14069.29,2.69642506119381e-05
14129.29,2.69642506119381e-05
14189.29,2.3369017197013e-05
14249.29,2.69642506119381e-05
14309.28,2.51666339044756e-05
14369.28,2.69642506119381e-05
14429.28,2.69642506119381e-05
14489.27,2.69642506119381e-05
14549.27,2.69642506119381e-05
14609.27,3.05594840268632e-05
14669.26,2.69642506119381e-05
14729.26,2.87618673194007e-05
14789.26,2.87618673194007e-05
14849.26,2.69642506119381e-05
14909.25,3.05594840268632e-05
14969.25,2.51666339044756e-05
15029.25,2.87618673194007e-05
15089.24,2.69642506119381e-05
15149.24,2.69642506119381e-05
15209.24,2.69642506119381e-05
15269.23,3.05594840268632e-05
15329.23,2.69642506119381e-05
15389.23,2.69642506119381e-05
15449.23,2.87618673194007e-05
15509.22,2.51666339044756e-05
15569.22,2.87618673194007e-05
15629.22,2.69642506119381e-05
15689.21,2.69642506119381e-05
15749.21,2.87618673194007e-05
15809.21,2.69642506119381e-05
15869.21,2.87618673194007e-05
15929.2,2.87618673194007e-05
15989.2,2.69642506119381e-05
16049.2,2.87618673194007e-05
16109.19,2.15714004895505e-05
16169.19,2.69642506119381e-05
16229.19,2.15714004895505e-05
16289.18,1.79761670746254e-05
16349.18,1.61785503671629e-05
16409.18,1.9773783782088e-05
16469.18,1.79761670746254e-05
16529.17,1.79761670746254e-05
16589.17,1.9773783782088e-05
